주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000039,용담이동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담이동 928-31,4,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51230395,126.5042163,2020-07-14
405-2-000040,용담이동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담이동 928-89,4,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.5121609,126.5043157,2020-07-14
405-2-000041,용담이동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담삼동 519-12,12,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51574983,126.5058685,2020-07-14
405-2-000042,용담이동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담삼동 2396-1,10,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.518502,126.4887999,2020-07-14
405-2-000043,용담이동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담이동 2686-7,3,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50605356,126.5107487,2020-07-14
405-2-000044,용담이동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담삼동 1071,130,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51742297,126.5003289,2020-07-14
405-2-000045,삼도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 삼도이동 807-1,4,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50872035,126.5218959,2020-07-14
405-2-000046,삼도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 삼도이동 807-3,4,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50857613,126.5218983,2020-07-14
405-2-000047,삼도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 삼도이동 1158-99,2,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51519462,126.5182018,2020-07-14
405-2-000048,삼도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 삼도이동 1158-33,3,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51535957,126.518425,2020-07-14
405-2-000049,이도일동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도일동 1285-1,71,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50467991,126.530122,2020-07-14
405-2-000050,이도일동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도일동 1554-1,5,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50842285,126.5264427,2020-07-14
405-2-000051,이도일동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도일동 1261-1,21,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50511593,126.5311586,2020-07-14
405-2-000052,이도일동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도일동 1348-1,7,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51206773,126.5249838,2020-07-14
405-2-000053,이도일동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도일동 1502-2,16,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50976976,126.5267427,2020-07-14
405-2-000054,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 1035-4,50,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49675309,126.5329999,2020-07-14
405-2-000055,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 65-3,51,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49183088,126.5284667,2020-07-14
405-2-000056,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 57-3,27,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49338897,126.5275687,2020-07-14
405-2-000057,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 1028-1,19,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49187594,126.5353202,2020-07-14
405-2-000058,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 425,25,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49914948,126.5440352,2020-07-14
405-2-000059,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 1063-14,8,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49628517,126.5368924,2020-07-14
405-2-000060,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 1909-75,6,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48964724,126.531355,2020-07-14
405-2-000061,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 574-3,32,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.4904382,126.5197745,2020-07-14
405-2-000062,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 689-7,20,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48828924,126.5210161,2020-07-14
405-2-000063,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 742-1,32,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49144787,126.5227917,2020-07-14
405-2-000064,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 703-8,8,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48914471,126.5224434,2020-07-14
405-2-000065,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 705-14,8,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48914231,126.5237562,2020-07-14
405-2-000066,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 735-1,24,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49172786,126.5220768,2020-07-14
